subset,method,backend,model_name,pretrained_loaded,oracle_upper_bound,n,accuracy_strict,accuracy_alias,recovers_top3,recovers_top5,pairwise_recovery,target_prob_improvement_rate,median_target_prob_gain,target_rank_improvement_rate,text_distractor_decrease_rate,selected_text_overlap_rate,selected_object_overlap_rate,selected_area_fraction
directional_57,original_clip_prediction,open_clip,ViT-B-32,True,False,57,0.0,0.0,0.7894736842105263,0.8596491228070176,0.0,0.0,0.0,0.0,0.0,,,
directional_57,oracle_text_box_repair,open_clip,ViT-B-32,True,True,57,0.3157894736842105,0.3157894736842105,0.8596491228070176,0.9649122807017544,0.38596491228070173,1.0,0.09763064235448837,0.5964912280701754,0.9122807017543859,,,
directional_57,oracle_best_global_op,open_clip,ViT-B-32,True,True,57,0.2982456140350877,0.2982456140350877,0.8596491228070176,0.9473684210526315,0.3684210526315789,0.9473684210526315,0.05194494128227234,0.5789473684210527,0.9122807017543859,,,
directional_57,cic_top1_repair_excl_ocr,open_clip,ViT-B-32,True,False,57,0.43859649122807015,0.43859649122807015,0.6842105263157895,0.8947368421052632,0.45614035087719296,0.6842105263157895,0.10340837761759758,0.5087719298245614,0.9649122807017544,0.14035087719298245,0.3508771929824561,0.05835284360454708
directional_57,cic_top3_repair_excl_ocr,open_clip,ViT-B-32,True,False,57,0.43859649122807015,0.43859649122807015,0.7719298245614035,0.8947368421052632,0.47368421052631576,0.7192982456140351,0.13655443117022514,0.543859649122807,0.9298245614035088,,,
directional_57,cic_top1_repair_incl_ocr,open_clip,ViT-B-32,True,False,57,0.45614035087719296,0.45614035087719296,0.7017543859649122,0.8947368421052632,0.47368421052631576,0.7017543859649122,0.10340837761759758,0.5263157894736842,0.9649122807017544,0.19298245614035087,0.3333333333333333,0.056071750246151096
directional_57,cic_top3_repair_incl_ocr,open_clip,ViT-B-32,True,False,57,0.43859649122807015,0.43859649122807015,0.7894736842105263,0.8947368421052632,0.49122807017543857,0.7192982456140351,0.13655443117022514,0.543859649122807,0.9298245614035088,,,
directional_57,cic_top1_best_global_op_excl_ocr,open_clip,ViT-B-32,True,False,57,0.40350877192982454,0.40350877192982454,0.7719298245614035,0.8947368421052632,0.42105263157894735,0.6842105263157895,0.07333005964756012,0.49122807017543857,0.8421052631578947,,,
directional_57,matched_random_proposal_repair,open_clip,ViT-B-32,True,False,57,0.17543859649122806,0.17543859649122806,0.7368421052631579,0.8771929824561403,0.24561403508771928,0.47368421052631576,0.00512310117483139,0.2807017543859649,0.6491228070175439,,,
directional_57,largest_region_repair,open_clip,ViT-B-32,True,False,57,0.38596491228070173,0.38596491228070173,0.7368421052631579,0.8421052631578947,0.45614035087719296,0.6842105263157895,0.10806161165237427,0.543859649122807,0.8245614035087719,,,
directional_57,ocr_proposal_repair,open_clip,ViT-B-32,True,False,49,0.1836734693877551,0.1836734693877551,0.7755102040816326,0.8775510204081632,0.22448979591836735,0.5918367346938775,0.01812845468521118,0.30612244897959184,0.7551020408163265,,,
